Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
7642634151,"Aug 15, 2022, 3:09:27 PM",Afternoon Run,Run,,697,2.38,,,false,,,activities/7642634151.gpx,,,697.0,697.0,2387.8,5.835,3.426,11.9,17.5,47.5,63.0,4.7,-0.2,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,18.0,0.0,,1.0,2384.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.426,0.0,,,,,,,,,,,,,,,,,""
7677059908,"Aug 21, 2022, 5:23:40 PM",Evening Run,Run,,740,2.27,,,false,,,activities/7677059908.gpx,,,740.0,735.0,2275.0,5.95,3.095,12.1,16.7,47.5,60.9,5.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2275.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.074,69.5,,,,,,,,,,,,,,,,,""
7727062453,"Aug 30, 2022, 6:17:34 PM",Evening Run,Run,,871,2.59,,,false,,,activities/7727062453.gpx,,,871.0,871.0,2590.5,4.646,2.974,13.7,13.6,47.0,60.8,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2614.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.974,0.0,,,,,,,,,,,,,,,,,""
7839730425,"Sep 20, 2022, 5:37:47 PM",Evening Run,Run,Tillbaks efter 2 veckors bihålesinflammation!,1192,4.01,,,false,,,activities/7839730425.gpx,,,1192.0,1183.0,4009.7,4.764,3.389,27.5,30.1,53.3,76.5,7.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4036.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.364,0.0,,,,,,,,,,,,,,,,,""
8745601410,"Mar 20, 2023, 10:16:23 AM",Lunch Run,Run,,290,0.89,,,false,,,activities/8745601410.gpx,,,290.0,286.0,898.5,4.668,3.142,2.3,7.9,47.0,55.6,3.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,891.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.098,0.0,,,,728.0,,,,,,,,,,,,,""
10601954507,"Jan 21, 2024, 2:33:35 PM",Afternoon Run,Run,,1310,3.32,,,false,,,activities/10601954507.gpx,,,1310.0,1189.0,3324.7,10.078,2.796,20.7,20.9,70.6,82.9,8.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3349.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.538,0.0,,,,2876.0,,,,,,,,,,,,,""
12735956162,"Oct 24, 2024, 5:48:00 PM",Tenta-P damp,Run,,2432,7.28,,,false,,,activities/12735956162.gpx,,,2432.0,2427.0,7286.5,10.1,3.002,50.4,54.4,71.8,84.8,9.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7364.9,1729789184.0,2.0,11.8,8.8,8.6,0.81,1026.0,3.5,8.8,233.0,0.0,1729749376.0,1729783680.0,0.75,,,0.0,1.0,0.54,35658.0,0.0,,,,,0.0,2.996,5440.0,,,,7242.0,,,,,3.536,,,,,,,,""
12750941419,"Oct 26, 2024, 4:41:56 PM",Evening Run,Run,,1920,5.44,,,false,,,activities/12750941419.gpx,,,1920.0,1905.0,5446.7,4.484,2.859,29.6,29.6,70.5,82.9,12.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5488.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.837,452.1,,,,4838.0,,,,,2.881,,,,,,,,""
12811817635,"Nov 3, 2024, 10:47:46 AM",Lunch Run,Run,Inte i form för dessa backar!,1904,5.47,,,false,,,activities/12811817635.gpx,,,1904.0,1832.0,5473.3,7.16,2.988,59.7,59.7,26.7,63.5,21.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5609.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.875,1121.2,,,,4616.0,,,,,3.062,,,,,,,,""
13548351456,"Feb 5, 2025, 4:59:33 PM",Evening Run,Run,Usch fy blä,1391,3.91,,,false,,,activities/13548351456.gpx,,,1391.0,1366.0,3918.1,4.22,2.868,30.7,30.7,71.0,82.6,12.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3961.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.817,2163.6,,,,3470.0,,,,,2.9,,,,,,,,""
